CustomerID,country,max_price,total_value,frequency,avg_items,recency,avg_order_time
12346.0,United Kingdom,103.5,64.86000000000058,3,8.333333333333334,326,160.5
12347.0,Iceland,12.75,5633.32,8,31.625,3,57.0
12348.0,Finland,1.45,1658.4,5,9.2,76,90.5
12349.0,Italy,39.95,3654.5399999999995,3,57.333333333333336,19,285.0
12350.0,Norway,2.95,294.40000000000003,1,16.0,311,0.0
12351.0,Unspecified,12.75,300.93,1,21.0,376,0.0
12352.0,Norway,12.75,1609.21,9,10.555555555555555,37,44.12
12353.0,Bahrain,9.95,406.75999999999993,2,12.0,205,204.0
12354.0,Spain,16.95,1079.4,1,58.0,233,0.0
12355.0,Bahrain,12.75,947.6099999999999,2,17.5,215,353.0
12356.0,Portugal,12.75,5613.680000000001,6,23.333333333333332,23,79.8
12357.0,Switzerland,25.0,17437.65999999999,2,147.5,34,355.0
12358.0,Austria,10.75,3447.0700000000006,5,14.8,2,182.0
12359.0,Cyprus,145.0,8714.890000000001,10,36.5,58,74.89
12360.0,Austria,16.95,3612.89,6,35.166666666666664,53,120.4
12361.0,Belgium,2.95,451.25,4,6.25,288,131.0
12362.0,Belgium,29.95,4665.580000000001,10,25.6,4,31.89
12363.0,Unspecified,7.95,552.0,2,11.5,110,132.0
12364.0,Belgium,10.95,1208.1,4,20.25,8,34.33
12365.0,Cyprus,12.75,320.69,1,21.0,292,0.0
12366.0,Cyprus,1.69,500.24,1,3.0,634,0.0
12367.0,Denmark,4.95,150.9,1,10.0,5,0.0
12368.0,Cyprus,14.95,917.6999999999999,1,18.0,629,0.0
12369.0,Austria,8.95,1511.1500000000003,3,30.0,414,113.5
12370.0,Austria,9.95,3960.3100000000004,7,28.285714285714285,52,102.67
12371.0,Switzerland,12.75,3347.38,4,40.75,60,194.67
12372.0,Denmark,7.95,1196.04,3,16.333333333333332,72,112.0
12373.0,Austria,10.65,927.65,3,16.0,312,180.5
12374.0,Austria,16.95,2669.2200000000003,3,27.0,26,281.0
12375.0,Finland,7.95,375.4200000000001,2,7.5,11,87.0
12376.0,Switzerland,4.95,383.15,2,5.5,390,28.0
12377.0,Switzerland,16.95,3266.3199999999997,4,37.5,316,91.0
12378.0,Switzerland,39.95,5416.3200000000015,2,150.5,130,432.0
12379.0,Belgium,9.95,1468.27,4,19.25,82,150.67
