CustomerID,max_price,total_value,frequency,avg_items,recency,avg_order_time,region_Europe,region_Other,km3,rfm,rfmo
12346.0,6.693486957499325,6.019257118681095,1.584962500721156,3.0588936890535687,8.348728154231077,7.335390354693925,0,0,0,3,1
12347.0,3.672425341971496,12.459769710668892,3.0,4.9829935746943095,1.584962500721156,5.857980995127572,1,0,2,2,3
12348.0,0.5360529002402097,10.695576306222053,2.3219280948873617,3.2016338611696504,6.247927513443584,6.515699838284043,1,0,0,1,4
12349.0,5.320123598040615,11.835474109038568,1.584962500721156,5.841302253980943,4.247927513443585,8.159871336778389,1,0,2,2,2
12350.0,1.560714954474479,8.20163386116965,0.0,4.0,8.280770770130601,0.0,1,0,1,3,0
12351.0,3.672425341971496,8.233284127266181,0.0,4.392317422778762,8.554588851677638,0.0,0,1,1,3,0
12352.0,3.672425341971496,10.65213689300398,3.169925001442312,3.3999306068886352,5.20945336562895,5.495695162624068,1,0,2,2,4
12353.0,3.3146965256562866,8.66803400407589,1.0,3.584962500721156,7.6794800995054455,7.6794800995054455,0,1,0,3,1
12354.0,4.083213368248981,10.076013877085275,0.0,5.857980995127572,7.864186144654282,0.0,1,0,1,1,0
12355.0,3.672425341971496,9.888149612998589,1.0,4.129283016944966,7.74819284958946,8.467605550082997,0,1,0,1,1
12356.0,3.672425341971496,12.454731112037456,2.5849625007211556,4.544320516223809,4.523561956057013,6.336283387864432,1,0,2,2,4
12357.0,4.6438561897747235,14.089918834062463,1.0,7.204571144249202,5.087462841250339,8.475733430966399,1,0,2,2,4
12358.0,3.4262647547020983,11.751154880619216,2.3219280948873617,3.887525270741588,1.0,7.515699838284043,1,0,2,2,3
12359.0,7.179909090014935,13.089266739322165,3.3219280948873617,5.1898245588800185,5.857980995127572,6.245837889607362,1,0,2,2,4
12360.0,4.083213368248981,11.818937615028807,2.5849625007211556,5.136136687986029,5.7279204545632,6.92362461136832,1,0,2,1,4
12361.0,1.560714954474479,8.817783121774532,2.0,2.6438561897747253,8.169925001442312,7.0443941193584525,1,0,0,3,1
12362.0,4.904484097901423,12.187840725033993,3.3219280948873617,4.6780719051126365,2.0,5.039577103060678,1,0,2,2,3
12363.0,2.990954860396993,9.108524456778168,1.0,3.523561956057013,6.78135971352466,7.055282435501191,0,1,0,1,1
12364.0,3.4528589647138115,10.238524162779546,2.0,4.339850002884623,3.0,5.142821844115928,1,0,2,0,2
12365.0,3.672425341971496,8.325035557039339,0.0,4.392317422778762,8.189824558880018,0.0,1,0,1,3,0
12366.0,0.7570232465074596,8.966476612136411,0.0,1.584962500721156,9.308339030139408,0.0,1,0,1,3,0
12367.0,2.3074285251922477,7.237448995639322,0.0,3.3219280948873617,2.3219280948873617,0.0,1,0,1,0,5
12368.0,3.902073579310743,9.841878797391997,0.0,4.169925001442312,9.296916206879287,0.0,1,0,1,3,0
